No   IGT            Start RTA      End RTA        Length     Retime?    Reason / Notice
17   44:28.738      5:28:49.828    5:28:50.321    0.493      0.493      Paused by player, Unpause by player
18   44:29.238      5:28:50.778    5:28:51.180    0.402      0.402      Paused by player, Unpause by player
19   44:30.338      5:28:52.280    5:28:52.813    0.533      0.533      Paused by player, Unpause by player
20   44:30.538      5:28:53.024    5:29:07.944    14.920     14.920     Paused by player, Unpause by player
21   44:47.538      5:29:24.976    5:29:26.160    1.184      1.184      Paused by player, Unpause by player
22   44:56.688      5:29:35.276    5:29:41.315    6.039      6.039      Paused by player, Unpause by player
23   45:03.938      5:29:48.538    5:30:05.195    16.657     16.657     Paused by player, Unpause by player
24   45:25.388      5:30:26.611    5:30:35.163    8.552      8.552      Paused by player, Unpause by player
25   45:49.388      5:30:59.129    5:31:01.567    2.438      2.438      Paused by player, Unpause by player
26   45:53.588      5:31:05.744    5:31:11.458    5.714      5.714      Paused by player, Unpause by player
27   45:57.788      5:31:15.622    5:31:18.407    2.785      2.785      Paused by player, Unpause by player
28   45:59.238      5:31:19.837    5:36:08.058    288.221    288.221    Paused by player, Unpause by player
29   46:10.538      5:36:19.315    5:36:19.911    0.596      0.596      Paused by player, Unpause by player
30   46:11.238      5:36:20.572    5:36:21.152    0.580      0.580      Paused by player, Unpause by player
31   46:23.788      5:36:33.709    5:36:34.609    0.900      0.900      Paused by player, Unpause by player
32   46:23.838      5:36:34.622    5:36:34.902    0.280      0.280      Paused by player, Unpause by player
33   46:23.888      5:36:34.906    5:36:35.137    0.231      0.231      Paused by player, Unpause by player
34   46:23.938      5:36:35.140    5:36:35.447    0.307      0.307      Paused by player, Unpause by player
35   46:23.988      5:36:35.450    5:36:35.734    0.284      0.284      Paused by player, Unpause by player
36   46:24.038      5:36:35.739    5:36:36.023    0.284      0.284      Paused by player, Unpause by player
37   46:24.088      5:36:36.027    5:36:36.317    0.290      0.290      Paused by player, Unpause by player
38   46:24.138      5:36:36.321    5:36:36.580    0.259      0.259      Paused by player, Unpause by player
39   46:24.188      5:36:36.583    5:36:36.823    0.240      0.240      Paused by player, Unpause by player
40   46:24.238      5:36:36.827    5:36:37.130    0.303      0.303      Paused by player, Unpause by player
