No   IGT            Start RTA      End RTA        Length     Retime?    Reason / Notice
7    1:46:37.658    24:29:40.337   24:29:54.221   13.884     13.884     Paused by player, Unpause by player
8    1:47:24.958    24:30:41.503   24:30:43.782   2.279      2.279      Paused by player, Unpause by player
9    1:47:25.508    24:30:44.335   24:30:45.646   1.311      1.311      Paused by player, Unpause by player
10   1:47:26.408    24:30:46.534   24:30:50.105   3.571      3.571      Paused by player, Unpause by player
11   1:47:41.908    24:31:05.573   24:31:07.075   1.502      1.502      Paused by player, Unpause by player
0    1:47:42.208    24:31:07.344   24:32:21.999   74.655                Paused by player, Unpause by rendered
1    1:47:45.813    24:32:25.539   24:32:26.356   0.817      0.817      Paused by player, Unpause by player
2    1:47:53.163    24:32:33.689   24:32:35.537   1.848      1.848      Paused by player, Unpause by player
3    1:48:06.763    24:32:49.118   24:32:53.367   4.249      4.249      Paused by player, Unpause by player
4    1:48:07.163    24:32:53.749   24:32:55.413   1.664      1.664      Paused by player, Unpause by player
5    1:48:09.213    24:32:57.433   24:32:58.355   0.922      0.922      Paused by player, Unpause by player
6    1:48:09.463    24:32:58.603   24:32:59.651   1.048      1.048      Paused by player, Unpause by player
7    1:48:11.463    24:33:01.651   24:33:03.175   1.524      1.524      Paused by player, Unpause by player
8    1:48:13.663    24:33:05.353   24:33:06.021   0.668      0.668      Paused by player, Unpause by player
0    1:50:14.013    24:35:06.369   24:35:11.190   4.821                 Paused by player, Unpause by rendered
0    1:50:14.755    24:35:11.923   31:08:18.017   23586.094             Paused by player, Unpause by changed look direction
1    1:51:35.309    31:09:38.146   31:10:54.505   76.359     76.359     Paused by player, Unpause by player
2    1:52:02.309    31:11:21.479   31:11:23.102   1.623      1.623      Paused by player, Unpause by player
3    1:52:03.009    31:11:23.793   31:11:36.067   12.274     12.274     Paused by player, Unpause by player
4    1:52:03.509    31:11:36.537   31:11:48.517   11.980     11.980     Paused by player, Unpause by player
5    1:54:13.459    31:13:58.454   31:13:59.371   0.917      0.917      Paused by player, Unpause by player
6    1:54:13.809    31:13:59.691   31:14:05.330   5.639      5.639      Paused by player, Unpause by player
7    1:54:15.909    31:14:07.409   31:14:08.392   0.983      0.983      Paused by player, Unpause by player
8    1:54:16.809    31:14:09.292   31:14:10.561   1.269      1.269      Paused by player, Unpause by player
9    1:55:38.959    31:15:32.690   31:15:35.919   3.229      3.229      Paused by player, Unpause by player
10   1:55:39.459    31:15:36.373   31:15:38.475   2.102      2.102      Paused by player, Unpause by player
11   1:55:39.859    31:15:38.877   31:15:43.420   4.543      4.543      Paused by player, Unpause by player
12   1:55:40.459    31:15:43.975   31:16:04.846   20.871     20.871     Paused by player, Unpause by player
13   1:55:41.309    31:16:05.686   31:16:08.513   2.827      2.827      Paused by player, Unpause by player
14   1:55:41.859    31:16:09.024   31:16:12.091   3.067      3.067      Paused by player, Unpause by player
15   1:55:42.309    31:16:12.535   31:16:15.036   2.501      2.501      Paused by player, Unpause by player
16   1:55:42.759    31:16:15.478   31:16:18.777   3.299      3.299      Paused by player, Unpause by player
17   1:55:43.259    31:16:19.273   31:16:21.662   2.389      2.389      Paused by player, Unpause by player
18   1:55:43.859    31:16:22.222   31:16:26.643   4.421      4.421      Paused by player, Unpause by player
19   1:55:47.709    31:16:30.483   31:17:06.345   35.862     35.862     Paused by player, Unpause by player
20   1:55:51.659    31:17:10.271   31:17:25.232   14.961     14.961     Paused by player, Unpause by player
21   1:55:53.159    31:17:26.697   31:17:31.262   4.565      4.565      Paused by player, Unpause by player
22   1:55:54.759    31:17:32.864   31:17:45.095   12.231     12.231     Paused by player, Unpause by player
23   1:55:56.109    31:17:46.417   31:17:55.661   9.244      9.244      Paused by player, Unpause by player
24   1:55:57.709    31:17:57.237   31:18:08.199   10.962     10.962     Paused by player, Unpause by player
25   1:55:58.559    31:18:09.012   31:18:15.018   6.006      6.006      Paused by player, Unpause by player
26   1:55:59.309    31:18:15.727   31:18:20.502   4.775      4.775      Paused by player, Unpause by player
27   1:57:04.559    31:19:25.734   31:19:26.829   1.095      1.095      Paused by player, Unpause by player
28   1:57:05.259    31:19:27.515   31:19:28.055   0.540      0.540      Paused by player, Unpause by player
29   1:57:05.859    31:19:28.653   31:19:29.340   0.687      0.687      Paused by player, Unpause by player
30   1:57:06.259    31:19:29.702   31:19:41.726   12.024     12.024     Paused by player, Unpause by player
31   1:57:23.359    31:19:58.812   31:19:59.845   1.033      1.033      Paused by player, Unpause by player
32   1:57:24.159    31:20:00.599   31:20:02.095   1.496      1.496      Paused by player, Unpause by player
33   1:57:29.059    31:20:06.951   31:20:09.211   2.260      2.260      Paused by player, Unpause by player
34   1:57:32.259    31:20:12.409   31:20:17.468   5.059      5.059      Paused by player, Unpause by player
35   1:57:47.459    31:20:32.657   31:20:39.604   6.947      6.947      Paused by player, Unpause by player
36   1:57:59.959    31:20:52.090   31:20:53.578   1.488      1.488      Paused by player, Unpause by player
37   1:58:13.759    31:21:07.373   31:21:08.589   1.216      1.216      Paused by player, Unpause by player
38   1:58:14.059    31:21:08.872   31:21:09.789   0.917      0.917      Paused by player, Unpause by player
39   1:58:14.959    31:21:10.655   31:21:17.779   7.124      7.124      Paused by player, Unpause by player
40   1:58:27.959    31:21:30.770   31:21:31.540   0.770      0.770      Paused by player, Unpause by player
41   1:58:28.259    31:21:31.812   31:21:32.565   0.753      0.753      Paused by player, Unpause by player
42   1:58:29.059    31:21:33.334   31:21:39.203   5.869      5.869      Paused by player, Unpause by player
43   1:58:48.909    31:21:59.049   31:21:59.630   0.581      0.581      Paused by player, Unpause by player
44   1:58:50.309    31:22:00.999   31:22:06.797   5.798      5.798      Paused by player, Unpause by player
45   1:58:50.809    31:22:07.270   31:22:08.025   0.755      0.755      Paused by player, Unpause by player
46   1:58:51.859    31:22:09.043   31:22:14.668   5.625      5.625      Paused by player, Unpause by player
47   1:59:05.359    31:22:28.161   31:22:29.931   1.770      1.770      Paused by player, Unpause by player
48   1:59:19.709    31:22:44.256   31:22:46.986   2.730      2.730      Paused by player, Unpause by player
49   1:59:27.959    31:22:55.228   31:22:55.829   0.601      0.601      Paused by player, Unpause by player
50   1:59:33.859    31:23:01.722   31:23:03.859   2.137      2.137      Paused by player, Unpause by player
51   1:59:34.659    31:23:04.623   31:23:04.910   0.287      0.287      Paused by player, Unpause by player
52   1:59:34.909    31:23:05.169   31:23:06.161   0.992      0.992      Paused by player, Unpause by player
53   2:00:02.159    31:23:33.385   31:23:37.451   4.066      4.066      Paused by player, Unpause by player
54   2:00:02.909    31:23:38.158   31:23:43.843   5.685      5.685      Paused by player, Unpause by player
55   2:00:04.609    31:23:45.549   31:23:56.602   11.053     11.053     Paused by player, Unpause by player
56   2:00:05.209    31:23:57.174   31:23:58.081   0.907      0.907      Paused by player, Unpause by player
57   2:00:05.609    31:23:58.445   31:23:59.465   1.020      1.020      Paused by player, Unpause by player
58   2:00:06.459    31:24:00.308   31:24:01.645   1.337      1.337      Paused by player, Unpause by player
59   2:00:07.109    31:24:02.255   31:24:03.213   0.958      0.958      Paused by player, Unpause by player
60   2:00:07.559    31:24:03.663   31:24:04.571   0.908      0.908      Paused by player, Unpause by player
61   2:00:08.059    31:24:05.066   31:24:05.841   0.775      0.775      Paused by player, Unpause by player
62   2:00:08.559    31:24:06.312   31:24:07.576   1.264      1.264      Paused by player, Unpause by player
63   2:00:08.959    31:24:07.931   31:24:09.287   1.356      1.356      Paused by player, Unpause by player
64   2:00:09.509    31:24:09.836   31:24:10.414   0.578      0.578      Paused by player, Unpause by player
65   2:00:09.959    31:24:10.833   31:24:11.727   0.894      0.894      Paused by player, Unpause by player
66   2:00:10.359    31:24:12.109   31:24:12.893   0.784      0.784      Paused by player, Unpause by player
67   2:00:23.859    31:24:26.384   31:24:26.695   0.311      0.311      Paused by player, Unpause by player
68   2:00:35.459    31:24:38.304   31:24:38.712   0.408      0.408      Paused by player, Unpause by player
69   2:00:41.759    31:24:44.988   31:24:46.140   1.152      1.152      Paused by player, Unpause by player
70   2:01:20.859    31:25:25.217   31:25:25.521   0.304      0.304      Paused by player, Unpause by player
71   2:01:27.059    31:25:31.734   31:25:31.974   0.240      0.240      Paused by player, Unpause by player
72   2:01:30.159    31:25:35.092   31:25:36.119   1.027      1.027      Paused by player, Unpause by player
73   2:01:30.359    31:25:36.305   31:25:37.248   0.943      0.943      Paused by player, Unpause by player
74   2:01:30.609    31:25:37.476   31:25:37.738   0.262      0.262      Paused by player, Unpause by player
75   2:01:54.659    31:26:01.785   31:26:04.147   2.362      2.362      Paused by player, Unpause by player
76   2:01:56.259    31:26:05.733   31:26:07.268   1.535      1.535      Paused by player, Unpause by player
77   2:01:57.659    31:26:08.668   31:26:10.139   1.471      1.471      Paused by player, Unpause by player
78   2:01:58.359    31:26:10.816   31:26:11.820   1.004      1.004      Paused by player, Unpause by player
79   2:02:01.959    31:26:15.392   31:26:16.291   0.899      0.899      Paused by player, Unpause by player
80   2:02:06.809    31:26:21.117   31:26:38.165   17.048     17.048     Paused by player, Unpause by player
81   2:02:18.309    31:26:49.682   31:26:50.648   0.966      0.966      Paused by player, Unpause by player
82   2:02:19.659    31:26:51.989   31:26:53.869   1.880      1.880      Paused by player, Unpause by player
