Tick 1303(1246), Delay 45 ms, IGT 01:02.274, RTA 02:29.030-02:29.075
Tick 1306(1249), Delay 55 ms, IGT 01:02.424, RTA 02:29.175-02:29.230
Tick 1307(1250), Delay 45 ms, IGT 01:02.474, RTA 02:29.230-02:29.275
Tick 1343(1286), Delay 45 ms, IGT 01:04.274, RTA 02:31.030-02:31.075
Tick 1344(1287), Delay 5100 ms, IGT 01:04.324, RTA 02:31.075-02:36.175
Tick 1367(1310), Delay 23606 ms, IGT 01:05.474, RTA 02:37.274-03:00.880
Tick 1457(1400), Delay 71 ms, IGT 01:09.974, RTA 03:05.328-03:05.399
Tick 1458(1401), Delay 31 ms, IGT 01:10.024, RTA 03:05.399-03:05.430
Tick 1524(1467), Delay 56 ms, IGT 01:13.324, RTA 03:08.677-03:08.733
Tick 1611(1554), Delay 45 ms, IGT 01:17.674, RTA 03:13.032-03:13.077
Tick 1650(1593), Delay 56 ms, IGT 01:19.624, RTA 03:14.981-03:15.037
Tick 1651(1594), Delay 45 ms, IGT 01:19.674, RTA 03:15.037-03:15.082
Tick 1664(1607), Delay 13533 ms, IGT 01:20.324, RTA 03:15.683-03:29.216
Tick 2231(2174), Delay 84 ms, IGT 01:48.674, RTA 03:57.514-03:57.598
Tick 2232(2175), Delay 16 ms, IGT 01:48.724, RTA 03:57.598-03:57.614
Tick 2253(2196), Delay 26538 ms, IGT 01:49.774, RTA 03:58.616-04:25.154
Tick 2272(2215), Delay 13429 ms, IGT 01:50.724, RTA 04:26.058-04:39.487
Tick 2296(2239), Delay 855 ms, IGT 01:51.924, RTA 04:40.637-04:41.492
Tick 2539(2482), Delay 840 ms, IGT 02:04.074, RTA 04:53.593-04:54.433
Tick 2551(2494), Delay 24821 ms, IGT 02:04.674, RTA 04:54.983-05:19.804
Tick 2552(2495), Delay 45 ms, IGT 02:04.724, RTA 05:19.804-05:19.849
Tick 2567(2510), Delay 108 ms, IGT 02:05.474, RTA 05:20.551-05:20.659
Tick 2568(2511), Delay 1 ms, IGT 02:05.524, RTA 05:20.659-05:20.660
Tick 2569(2512), Delay 40 ms, IGT 02:05.574, RTA 05:20.660-05:20.700
Tick 2753(2696), Delay 90 ms, IGT 02:14.774, RTA 05:29.850-05:29.940
Tick 2754(2697), Delay 71 ms, IGT 02:14.824, RTA 05:29.940-05:30.011
Tick 2755(2698), Delay 1 ms, IGT 02:14.874, RTA 05:30.011-05:30.012
Tick 2756(2699), Delay 37 ms, IGT 02:14.924, RTA 05:30.012-05:30.049
Tick 2790(2733), Delay 122 ms, IGT 02:16.624, RTA 05:31.702-05:31.824
Tick 2791(2734), Delay 0 ms, IGT 02:16.674, RTA 05:31.824-05:31.824
Tick 2792(2735), Delay 65 ms, IGT 02:16.724, RTA 05:31.824-05:31.889
Tick 2793(2736), Delay 12 ms, IGT 02:16.774, RTA 05:31.889-05:31.901
Tick 2806(2749), Delay 55 ms, IGT 02:17.424, RTA 05:32.498-05:32.553
Tick 2832(2775), Delay 56 ms, IGT 02:18.724, RTA 05:33.802-05:33.858
Tick 2833(2776), Delay 40 ms, IGT 02:18.774, RTA 05:33.858-05:33.898
Tick 2979(2922), Delay 55 ms, IGT 02:26.074, RTA 05:41.147-05:41.202
Tick 3044(2987), Delay 45 ms, IGT 02:29.324, RTA 05:44.403-05:44.448
Tick 3160(3103), Delay 45 ms, IGT 02:35.124, RTA 05:50.202-05:50.247
Tick 3177(3120), Delay 55 ms, IGT 02:35.974, RTA 05:51.048-05:51.103
Tick 3179(3122), Delay 45 ms, IGT 02:36.074, RTA 05:51.153-05:51.198
Tick 3197(3140), Delay 55 ms, IGT 02:36.974, RTA 05:52.047-05:52.102
Tick 3304(3247), Delay 55 ms, IGT 02:42.324, RTA 05:57.397-05:57.452
Tick 3328(3271), Delay 45 ms, IGT 02:43.524, RTA 05:58.602-05:58.647
Tick 3444(3387), Delay 10953 ms, IGT 02:49.324, RTA 06:04.402-06:15.355
Tick 3730(3673), Delay 55 ms, IGT 03:03.624, RTA 06:29.602-06:29.657
Tick 3766(3709), Delay 984 ms, IGT 03:05.424, RTA 06:31.407-06:32.391
Tick 3774(3717), Delay 2187 ms, IGT 03:05.824, RTA 06:32.740-06:34.927
Tick 3958(3901), Delay 4742 ms, IGT 03:15.024, RTA 06:44.080-06:48.822
Tick 4230(4173), Delay 55 ms, IGT 03:28.624, RTA 07:02.369-07:02.424
Tick 4234(4177), Delay 1262 ms, IGT 03:28.824, RTA 07:02.571-07:03.833
Tick 5156(5099), Delay 45 ms, IGT 04:14.924, RTA 07:49.885-07:49.930
Tick 5242(5185), Delay 45 ms, IGT 04:19.224, RTA 07:54.186-07:54.231
Tick 5756(5699), Delay 436 ms, IGT 04:44.924, RTA 08:19.881-08:20.317
Tick 5819(5762), Delay 45 ms, IGT 04:48.074, RTA 08:23.421-08:23.466
Tick 5903(5846), Delay 45 ms, IGT 04:52.274, RTA 08:27.621-08:27.666
Tick 5914(5857), Delay 45 ms, IGT 04:52.824, RTA 08:28.171-08:28.216
Tick 6665(6608), Delay 31698 ms, IGT 05:30.374, RTA 09:05.717-09:37.415
Tick 6823(6766), Delay 55 ms, IGT 05:38.274, RTA 09:45.263-09:45.318
Tick 7023(6966), Delay 17108 ms, IGT 05:48.274, RTA 09:55.267-10:12.375
Tick 7045(6988), Delay 45 ms, IGT 05:49.374, RTA 10:13.427-10:13.472
Tick 7152(7095), Delay 45 ms, IGT 05:54.724, RTA 10:18.778-10:18.823
Tick 7177(7120), Delay 55 ms, IGT 05:55.974, RTA 10:20.022-10:20.077
Tick 7272(7215), Delay 55 ms, IGT 06:00.724, RTA 10:24.772-10:24.827
Tick 7311(7254), Delay 658 ms, IGT 06:02.674, RTA 10:26.727-10:27.385
Tick 7592(7534), Delay 80 ms, IGT 06:16.674, RTA 10:41.385-10:41.465, due world load
Tick 7593(7534), Delay 4 ms, IGT 06:16.674, RTA 10:41.465-10:41.469, due world load
Tick 7594(7534), Delay 36 ms, IGT 06:16.674, RTA 10:41.469-10:41.505, due world load
Tick 7611(7538), Delay 1521 ms, IGT 06:16.857, RTA 10:42.304-10:43.825
Tick 7624(7551), Delay 44 ms, IGT 06:17.507, RTA 10:44.428-10:44.472
Tick 7633(7560), Delay 68 ms, IGT 06:17.957, RTA 10:44.876-10:44.944
Tick 7634(7561), Delay 29 ms, IGT 06:18.007, RTA 10:44.944-10:44.973
Tick 7641(7568), Delay 56 ms, IGT 06:18.357, RTA 10:45.273-10:45.329
Tick 7642(7569), Delay 42 ms, IGT 06:18.407, RTA 10:45.329-10:45.371
Tick 7649(7576), Delay 337 ms, IGT 06:18.709, RTA 10:45.673-10:46.010
Tick 7650(7577), Delay 2 ms, IGT 06:18.759, RTA 10:46.010-10:46.012
Tick 7651(7578), Delay 1 ms, IGT 06:18.809, RTA 10:46.012-10:46.013
Tick 7652(7579), Delay 1 ms, IGT 06:18.859, RTA 10:46.013-10:46.014
Tick 7653(7580), Delay 1 ms, IGT 06:18.909, RTA 10:46.014-10:46.015
Tick 7654(7581), Delay 0 ms, IGT 06:18.959, RTA 10:46.015-10:46.015
Tick 7655(7582), Delay 2 ms, IGT 06:19.009, RTA 10:46.015-10:46.017
Tick 7678(7605), Delay 45 ms, IGT 06:20.159, RTA 10:47.114-10:47.159
Tick 7685(7612), Delay 146 ms, IGT 06:20.460, RTA 10:47.460-10:47.606
Tick 7686(7613), Delay 1 ms, IGT 06:20.510, RTA 10:47.606-10:47.607
Tick 7687(7614), Delay 6 ms, IGT 06:20.560, RTA 10:47.607-10:47.613
Tick 7692(7619), Delay 77 ms, IGT 06:20.810, RTA 10:47.807-10:47.884
Tick 7693(7620), Delay 27 ms, IGT 06:20.860, RTA 10:47.884-10:47.911
Tick 7694(7621), Delay 135 ms, IGT 06:20.910, RTA 10:47.911-10:48.046
Tick 7695(7622), Delay 0 ms, IGT 06:20.960, RTA 10:48.046-10:48.046
Tick 7696(7623), Delay 15 ms, IGT 06:21.010, RTA 10:48.046-10:48.061
Tick 7702(7629), Delay 59 ms, IGT 06:21.310, RTA 10:48.307-10:48.366
Tick 7743(7670), Delay 57 ms, IGT 06:23.360, RTA 10:50.357-10:50.414
Tick 7761(7688), Delay 56 ms, IGT 06:24.260, RTA 10:51.260-10:51.316
Tick 7762(7689), Delay 45 ms, IGT 06:24.310, RTA 10:51.316-10:51.361
Tick 7764(7691), Delay 45 ms, IGT 06:24.410, RTA 10:51.412-10:51.457
Tick 7891(7818), Delay 701 ms, IGT 06:30.760, RTA 10:57.758-10:58.459
Tick 7917(7844), Delay 321 ms, IGT 06:32.011, RTA 10:59.710-11:00.031
Tick 7918(7845), Delay 1 ms, IGT 06:32.061, RTA 11:00.031-11:00.032
Tick 7919(7846), Delay 1 ms, IGT 06:32.111, RTA 11:00.032-11:00.033
Tick 7920(7847), Delay 0 ms, IGT 06:32.161, RTA 11:00.033-11:00.033
Tick 7921(7848), Delay 2 ms, IGT 06:32.211, RTA 11:00.033-11:00.035
Tick 7922(7849), Delay 0 ms, IGT 06:32.261, RTA 11:00.035-11:00.035
Tick 7923(7850), Delay 34 ms, IGT 06:32.311, RTA 11:00.035-11:00.069
Tick 7927(7854), Delay 69 ms, IGT 06:32.511, RTA 11:00.217-11:00.286
Tick 7928(7855), Delay 31 ms, IGT 06:32.561, RTA 11:00.286-11:00.317
Tick 7950(7877), Delay 165 ms, IGT 06:33.612, RTA 11:01.366-11:01.531
Tick 7951(7878), Delay 0 ms, IGT 06:33.662, RTA 11:01.531-11:01.531
Tick 7952(7879), Delay 9 ms, IGT 06:33.712, RTA 11:01.531-11:01.540
Tick 7953(7880), Delay 22 ms, IGT 06:33.762, RTA 11:01.540-11:01.562
Tick 7956(7883), Delay 230 ms, IGT 06:33.912, RTA 11:01.664-11:01.894
Tick 7957(7884), Delay 1 ms, IGT 06:33.962, RTA 11:01.894-11:01.895
Tick 7958(7885), Delay 0 ms, IGT 06:34.012, RTA 11:01.895-11:01.895
Tick 7959(7886), Delay 0 ms, IGT 06:34.062, RTA 11:01.895-11:01.895
Tick 7960(7887), Delay 20 ms, IGT 06:34.112, RTA 11:01.895-11:01.915
Tick 7962(7889), Delay 65 ms, IGT 06:34.212, RTA 11:01.962-11:02.027
Tick 7963(7890), Delay 37 ms, IGT 06:34.262, RTA 11:02.027-11:02.064
Tick 7964(7891), Delay 55 ms, IGT 06:34.312, RTA 11:02.064-11:02.119
Tick 7965(7892), Delay 60 ms, IGT 06:34.362, RTA 11:02.119-11:02.179
Tick 7966(7893), Delay 36 ms, IGT 06:34.412, RTA 11:02.179-11:02.215
Tick 8007(7934), Delay 810 ms, IGT 06:36.462, RTA 11:04.213-11:05.023
Tick 8111(8038), Delay 45 ms, IGT 06:41.662, RTA 11:10.175-11:10.220
Tick 8654(8581), Delay 58 ms, IGT 07:08.812, RTA 11:37.322-11:37.380
Tick 8655(8582), Delay 40 ms, IGT 07:08.862, RTA 11:37.380-11:37.420
Tick 8794(8721), Delay 58 ms, IGT 07:15.812, RTA 11:44.322-11:44.380
Tick 8795(8722), Delay 41 ms, IGT 07:15.862, RTA 11:44.380-11:44.421
Tick 8916(8843), Delay 55 ms, IGT 07:21.912, RTA 11:50.420-11:50.475
Tick 8991(8918), Delay 45 ms, IGT 07:25.662, RTA 11:54.175-11:54.220
Tick 9183(9110), Delay 44 ms, IGT 07:35.262, RTA 12:03.776-12:03.820
Tick 9294(9221), Delay 335 ms, IGT 07:40.763, RTA 12:09.324-12:09.659
Tick 9295(9222), Delay 0 ms, IGT 07:40.813, RTA 12:09.659-12:09.659
Tick 9296(9223), Delay 1 ms, IGT 07:40.863, RTA 12:09.659-12:09.660
Tick 9297(9224), Delay 1 ms, IGT 07:40.913, RTA 12:09.660-12:09.661
Tick 9298(9225), Delay 1 ms, IGT 07:40.963, RTA 12:09.661-12:09.662
Tick 9299(9226), Delay 1 ms, IGT 07:41.013, RTA 12:09.662-12:09.663
Tick 9300(9227), Delay 32 ms, IGT 07:41.063, RTA 12:09.663-12:09.695
Tick 9332(9257), Delay 39 ms, IGT 07:42.563, RTA 12:11.251-12:11.290, due world load
Tick 9340(9265), Delay 45 ms, IGT 07:42.927, RTA 12:11.648-12:11.693
Tick 9344(9269), Delay 42 ms, IGT 07:43.127, RTA 12:11.850-12:11.892
Tick 9348(9273), Delay 45 ms, IGT 07:43.327, RTA 12:12.049-12:12.094
Tick 9349(9274), Delay 55 ms, IGT 07:43.377, RTA 12:12.094-12:12.149
Tick 9351(9276), Delay 62 ms, IGT 07:43.477, RTA 12:12.197-12:12.259
Tick 9352(9277), Delay 40 ms, IGT 07:43.527, RTA 12:12.259-12:12.299
Tick 9353(9278), Delay 61 ms, IGT 07:43.577, RTA 12:12.299-12:12.360
Tick 9354(9279), Delay 38 ms, IGT 07:43.627, RTA 12:12.360-12:12.398
Tick 9355(9280), Delay 45 ms, IGT 07:43.677, RTA 12:12.398-12:12.443
Tick 9412(9337), Delay 55 ms, IGT 07:46.527, RTA 12:15.240-12:15.295
Tick 9545(9470), Delay 2841 ms, IGT 07:53.177, RTA 12:21.893-12:24.734
Tick 9629(9554), Delay 55 ms, IGT 07:57.377, RTA 12:28.882-12:28.937
Tick 9630(9555), Delay 45 ms, IGT 07:57.427, RTA 12:28.937-12:28.982
Tick 9699(9624), Delay 2181 ms, IGT 08:00.877, RTA 12:32.385-12:34.566
Tick 9719(9644), Delay 55 ms, IGT 08:01.877, RTA 12:35.515-12:35.570
Tick 9889(9814), Delay 45 ms, IGT 08:10.377, RTA 12:44.021-12:44.066
Tick 10038(9962), Delay 17691 ms, IGT 08:17.777, RTA 12:51.468-13:09.159
Tick 10039(9962), Delay 72 ms, IGT 08:17.777, RTA 13:09.159-13:09.231, due world load
Tick 10040(9962), Delay 8 ms, IGT 08:17.777, RTA 13:09.231-13:09.239, due world load
Tick 10042(9963), Delay 63 ms, IGT 08:17.821, RTA 13:09.286-13:09.349
Tick 10043(9964), Delay 44 ms, IGT 08:17.871, RTA 13:09.349-13:09.393
Tick 10048(9969), Delay 72 ms, IGT 08:18.121, RTA 13:09.592-13:09.664
Tick 10049(9970), Delay 101 ms, IGT 08:18.171, RTA 13:09.664-13:09.765
Tick 10050(9971), Delay 77 ms, IGT 08:18.221, RTA 13:09.765-13:09.842
Tick 10051(9972), Delay 1 ms, IGT 08:18.271, RTA 13:09.842-13:09.843
Tick 10052(9973), Delay 11 ms, IGT 08:18.321, RTA 13:09.843-13:09.854
Tick 10056(9977), Delay 42 ms, IGT 08:18.521, RTA 13:10.003-13:10.045
Tick 10058(9979), Delay 61 ms, IGT 08:18.621, RTA 13:10.094-13:10.155
Tick 10059(9980), Delay 40 ms, IGT 08:18.671, RTA 13:10.155-13:10.195
Tick 10060(9981), Delay 66 ms, IGT 08:18.721, RTA 13:10.195-13:10.261
Tick 10061(9982), Delay 26 ms, IGT 08:18.771, RTA 13:10.261-13:10.287
Tick 10085(10006), Delay 63 ms, IGT 08:19.971, RTA 13:11.440-13:11.503
Tick 10086(10007), Delay 37 ms, IGT 08:20.021, RTA 13:11.503-13:11.540
Tick 10104(10025), Delay 55 ms, IGT 08:20.921, RTA 13:12.387-13:12.442
Tick 10105(10026), Delay 45 ms, IGT 08:20.971, RTA 13:12.442-13:12.487
Tick 10159(10080), Delay 45 ms, IGT 08:23.671, RTA 13:15.141-13:15.186
Tick 10233(10154), Delay 57 ms, IGT 08:27.371, RTA 13:18.838-13:18.895
Tick 10234(10155), Delay 44 ms, IGT 08:27.421, RTA 13:18.895-13:18.939
Tick 10346(10267), Delay 45 ms, IGT 08:33.021, RTA 13:24.491-13:24.536
Tick 10354(10275), Delay 55 ms, IGT 08:33.421, RTA 13:24.886-13:24.941
Tick 10357(10278), Delay 57 ms, IGT 08:33.571, RTA 13:25.036-13:25.093
Tick 10603(10524), Delay 58 ms, IGT 08:45.871, RTA 13:37.338-13:37.396
Tick 10604(10525), Delay 42 ms, IGT 08:45.921, RTA 13:37.396-13:37.438
Tick 10754(10675), Delay 56 ms, IGT 08:53.421, RTA 13:44.888-13:44.944
Tick 10755(10676), Delay 45 ms, IGT 08:53.471, RTA 13:44.944-13:44.989
Tick 10892(10813), Delay 56 ms, IGT 09:00.321, RTA 13:51.787-13:51.843
Tick 11042(10963), Delay 55 ms, IGT 09:07.821, RTA 13:59.287-13:59.342
Tick 11265(11186), Delay 56 ms, IGT 09:18.971, RTA 14:10.437-14:10.493
Tick 11266(11187), Delay 45 ms, IGT 09:19.021, RTA 14:10.493-14:10.538
Tick 11267(11188), Delay 60 ms, IGT 09:19.071, RTA 14:10.538-14:10.598
Tick 11268(11189), Delay 39 ms, IGT 09:19.121, RTA 14:10.598-14:10.637
Tick 11381(11302), Delay 44 ms, IGT 09:24.771, RTA 14:16.243-14:16.287
Tick 11520(11441), Delay 45 ms, IGT 09:31.721, RTA 14:23.192-14:23.237
Tick 11685(11606), Delay 55 ms, IGT 09:39.971, RTA 14:31.436-14:31.491
Tick 11686(11607), Delay 45 ms, IGT 09:40.021, RTA 14:31.491-14:31.536
Tick 11767(11688), Delay 55 ms, IGT 09:44.071, RTA 14:35.536-14:35.591
Tick 12095(12016), Delay 45 ms, IGT 10:00.471, RTA 14:51.941-14:51.986
